Datum	Weekdag	Schema	Wedstrijden	Wedstrijdduur	Singles	Doubles	Mix	Team 1	Team 2
06-09-2026	zondag	Groen Zondag – Groen 1  – Afdeling 36	6	45	4	2	0	MIERLO 1	LIESSEL 1
06-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 1e klasse  – Afdeling 12	6	90	4	2	0	MIERLO 1	GEMERT 3
06-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 1e klasse  – Afdeling 8	6	90	4	2	0	MIERLO 3	BRZ 1
06-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 3e klasse  – Afdeling 6	6	90	4	2	0	MIERLO 5	WETTENSEIND 2
06-09-2026	zondag	Junioren 11 t/m 14 jaar Zondag – 1e klasse  – Afdeling 5	6	45	4	2	0	MIERLO 1	WEERT-OOST 1
06-09-2026	zondag	Junioren 11 t/m 14 jaar Zondag – 2e klasse  – Afdeling 8	6	45	4	2	0	MIERLO 2	VALKENSWAARD 1
06-09-2026	zondag	Junioren 11 t/m 14 jaar Zondag – 3e klasse – Afdeling 22	6	45	4	2	0	MIERLO 4	VENLO 6
06-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 1e klasse – Afdeling 2	6	90	4	2	0	MIERLO 2	MIERLO 3
13-09-2026	zondag	Gemengd Zondag – 1e klasse (2DE-2HE-DD-HD-2GD) – Afdeling 1	8	90	4	2	2	MIERLO 1	BLADEL 1
13-09-2026	zondag	Groen Zondag – Groen 1  – Afdeling 38	6	45	4	2	0	MIERLO 2	GENNEPER PARKEN 2
13-09-2026	zondag	Heren Zondag – 4e klasse – Afdeling 4	6	90	4	2	0	MIERLO 1	LACOSTE 2
13-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 1e klasse  – Afdeling 30	6	90	4	2	0	MIERLO 2	WAALRE 1
13-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 2e klasse  – Afdeling 10	6	90	4	2	0	MIERLO 4	TOPSPIN-BOXMEER 1
13-09-2026	zondag	Junioren 11 t/m 14 jaar Zondag – 2e klasse  – Afdeling 34	6	45	4	2	0	MIERLO 3	VENLO 4
13-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 1e klasse – Afdeling 2	6	90	4	2	0	MIERLO 3	UBACH O WORMS 1
13-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 3e klasse – Afdeling 2	6	90	4	2	0	MIERLO 4	BOSHOVEN 1
13-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 3e klasse – Afdeling 3	6	90	4	2	0	MIERLO 5	EINDHOVEN NOORD 3
13-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – Hoofdklasse – Afdeling 2	6	90	4	2	0	MIERLO 1	BLEISWIJK 1
20-09-2026	zondag	Gemengd Zondag – 3e klasse (DE-HE-GD-DD-HD) – Afdeling 4	5	90	2	2	1	MIERLO 2	SLOW 1
20-09-2026	zondag	Gemengd Zondag – 4e klasse (DE-HE-GD-DD-HD) – Afdeling 2	5	90	2	2	1	MIERLO 3	BOEKEL 2
20-09-2026	zondag	Gemengd Zondag – 5e klasse (DE-HE-GD-DD-HD) – Afdeling 7	5	90	2	2	1	MIERLO 4	LACOSTE 4
20-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 1e klasse  – Afdeling 12	6	90	4	2	0	MIERLO 1	WOLFSBOSCH 2
20-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 2e klasse  – Afdeling 10	6	90	4	2	0	MIERLO 4	CAROLUS 1
20-09-2026	zondag	Junioren 11 t/m 14 jaar Zondag – 2e klasse  – Afdeling 34	6	45	4	2	0	MIERLO 3	VENRAY 2
20-09-2026	zondag	Junioren 11 t/m 14 jaar Zondag – 3e klasse – Afdeling 22	6	45	4	2	0	MIERLO 4	MEIJEL 1
20-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 1e klasse – Afdeling 2	6	90	4	2	0	MIERLO 2	SITTARDSE LTC 1
20-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 3e klasse – Afdeling 2	6	90	4	2	0	MIERLO 4	BAEXEM 1
27-09-2026	zondag	Gemengd Zondag – 1e klasse (2DE-2HE-DD-HD-2GD) – Afdeling 1	8	90	4	2	2	MIERLO 1	DE HELSTER 1
27-09-2026	zondag	Gemengd Zondag – 4e klasse (DE-HE-GD-DD-HD) – Afdeling 2	5	90	2	2	1	MIERLO 3	UDEN 2
27-09-2026	zondag	Gemengd Zondag – 5e klasse (DE-HE-GD-DD-HD) – Afdeling 7	5	90	2	2	1	MIERLO 4	SLOW 6
27-09-2026	zondag	Heren Zondag – 4e klasse – Afdeling 4	6	90	4	2	0	MIERLO 1	DE KREKEL 1
27-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 1e klasse  – Afdeling 30	6	90	4	2	0	MIERLO 2	BOKT 1
27-09-2026	zondag	Jongens 13 t/m 17 jaar Zondag – 2e klasse  – Afdeling 10	6	90	4	2	0	MIERLO 4	RODHE 2
27-09-2026	zondag	Junioren 11 t/m 14 jaar Zondag – 2e klasse  – Afdeling 34	6	45	4	2	0	MIERLO 3	RODHE 1
27-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 1e klasse – Afdeling 2	6	90	4	2	0	MIERLO 3	SITTARDSE LTC 1
27-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 3e klasse – Afdeling 2	6	90	4	2	0	MIERLO 4	WIMBLEDONCK 1
27-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – 3e klasse – Afdeling 3	6	90	4	2	0	MIERLO 5	DE HELZE 1
27-09-2026	zondag	Meisjes 13 t/m 17 jaar Zondag – Hoofdklasse – Afdeling 2	6	90	4	2	0	MIERLO 1	BERLICUM 1
04-10-2026	zondag	Gemengd Zondag – 4e klasse (DE-HE-GD-DD-HD) – Afdeling 2	5	90	2	2	1	MIERLO 3	GTR 1
04-10-2026	zondag	Gemengd Zondag – 5e klasse (DE-HE-GD-DD-HD) – Afdeling 7	5	90	2	2	1	MIERLO 4	AVANTI `55 3
